              2              4              8             16
 10       0.015062       0.018789       0.032541       0.067495
 11       0.054470       0.032653       0.055117       0.083029
 12       0.059109       0.064768       0.099995       0.130697
 13       0.116739       0.123817       0.184674       0.303133
 14       0.224596       0.245800       0.333014       0.444677
 15       0.448009       0.461239       0.651374       0.742772
 16       0.902736       0.977567       1.231712       1.260623
 17       1.774472       1.912710       2.487771       2.417494
 18       4.650490       4.101268       5.022486       4.595326
 19      11.200068      12.837300      10.922541      10.169297
 20      21.795653      23.254939      28.494632      41.876036
