np,n,iterations,time,mbps
1,1024,1000,121.77,17.22
1,1024,100,13.12,15.99
1,2048,10000,577.11,145.36
2,1024,1000,61.78,33.84
2,1024,500,31.99,32.78
2,2048,10000,301.80,277.96
4,1024,10000,166.16,132.20,false
4,2048,10000,190.64,440.02,false
8,1024,3000,58.36,107.80
8,1024,2000,40.56,103.40
8,1024,10000,50.90,411.95,false
8,2048,10000,199.13,421.25,false
8,2048,10000,167.49,500.83
16,1024,10000,29.54,709.95,false
16,2048,10000,104.68,801.33,false
16,2048,10000,159.37,526.35
32,1024,10000,51.18,409.76,false
32,2048,10000,270.19,310.48,false
32,2048,10000,159.04,527.46
64,1024,10000,39.16,535.57,false
64,1024,10000,67.32,311.50,false
64,1024,10000,36.29,577.95,false
64,2048,10000,270.19,310.48,false
64,2048,10000,169.87,493.82
128,1024,10000,27.48, 763.28,false
128,2048,10000,176.78,474.51
256,1024,10000,36.01, 582.42,false
256,2048,10000,133.06, 630.44,false
512,1024,10000,39.62, 529.26,false
512,2048,10000,127.63,657.28,false
