np,n,iterations,time1,time2
1,10,100000,0.948513,2.143180
2,10,100000,0.589776,1.584686
4,10,100000,0.612209,1.844556
8,10,100000,0.744376,2.160110
16,10,100000,2.398548,3.694035
32,10,100000,4.571842,5.891372
64,10,100000,9.014052,10.515435
128,10,100000,19.936561,21.962089
1,11,100000,1.936369,3.829018
2,11,100000,1.513152,3.259936
4,11,100000,1.053510,3.094383
8,11,100000,1.208732,3.859906
16,11,100000,2.800224,5.462861
32,11,100000,4.766735,7.472438
64,11,100000,9.624075,12.727125
128,11,100000,20.679913,24.793395
1,12,100000,4.361013,9.387382
2,12,100000,2.554735,6.946804
4,12,100000,2.048649,6.726764
8,12,100000,1.899424,7.546999
16,12,100000,3.701391,9.315088
32,12,100000,5.384716,11.172749
64,12,100000,10.186335,16.840620
128,12,100000,21.194044,30.196316
1,13,100000,8.368843,27.274325
2,13,100000,4.822875,17.301898
4,13,100000,3.630592,16.584775
8,13,100000,3.491189,18.143485
16,13,100000,4.854825,19.585233
32,13,100000,7.160860,35.684050
64,13,100000,12.622361,30.835875
128,13,100000,23.897983,51.161641
1,14,1000,0.153437,0.283448
2,14,1000,0.082610,0.217702
4,14,1000,0.056892,0.220623
8,14,1000,0.063685,0.275736
16,14,1000,0.081084,0.292450
32,14,1000,0.104407,0.320073
64,14,1000,0.184613,0.437290
128,14,1000,0.297918,0.656424
1,15,1000,0.297954,0.559992
2,15,1000,0.162060,0.439674
4,15,1000,0.108407,0.424711
8,15,1000,0.097841,0.494142
16,15,1000,0.115685,0.532966
32,15,1000,0.135748,0.591436
64,15,1000,0.211838,0.716869
128,15,1000,0.372674,1.047334
1,16,1000,0.603153,1.136760
2,16,1000,0.320790,0.868822
4,16,1000,0.205823,0.871198
8,16,1000,0.227147,1.016778
16,16,1000,0.196800,1.037480
32,16,1000,0.281159,1.316981
64,16,1000,0.399238,1.377468
128,16,1000,0.504871,1.823394
1,17,1000,2.162918,3.216000
2,17,1000,0.650119,1.851155
4,17,1000,0.453575,1.879038
8,17,1000,0.378892,2.204839
16,17,1000,0.377274,2.170417
32,17,1000,0.487965,2.488425
64,17,1000,0.485486,2.409979
128,17,1000,0.699190,3.333295
1,18,1000,2.781820,5.284334
2,18,1000,2.441459,4.812788
4,18,1000,0.915241,3.593324
8,18,1000,0.971297,4.189573
16,18,1000,0.762516,4.357151
32,18,1000,1.056740,4.396264
64,18,1000,0.964259,4.728962
128,18,1000,1.106908,6.871113
1,19,1000,5.062573,12.077256
2,19,1000,2.890026,8.811216
4,19,1000,3.121305,9.588181
8,19,1000,2.043230,9.850321
16,19,1000,1.629234,9.410487
32,19,1000,1.730409,9.680556
64,19,1000,1.686909,10.775153
128,19,1000,1.979831,14.015927
1,20,1000,11.046423,39.320156
2,20,1000,6.499311,22.535071
4,20,1000,4.814162,21.390920
8,20,1000,4.725366,23.482760
16,20,1000,3.498743,25.095476
32,20,1000,3.927122,24.726375
64,20,1000,4.383134,25.621178
128,20,1000,6.026068,33.538202
